ue_id,slice_type,ru_choice,num_rb_alloc,max_rb,power_alloc_w,power_per_rb_w,snr_linear,snr_db,throughput_mbps,r_min_mbps,ru_power_remaining_w,max_power_effective_w,max_snr_db,max_throughput_mbps,success,reason
50,eMBB,2,17,20,7.981049,0.4694734705882353,18945.393495282555,42.77503629988692,86.9629700715611,50.0,7.98105014968879,7.98105014968879,42.06922618264116,100.6213249747879,True,"(np.float64(86962970.0715611), 0.0001652606466273803, np.float64(456555592.87569577), np.float64(273933355.7254175))"
12,eMBB,6,2,20,7.981049,3.9905245,695483.9445440433,58.42287108625102,13.973515026418267,50.0,11.971575149688789,11.971575149688789,50.18378427526776,120.02908405162647,False,insufficient_throughput (13973515.03 < 50000000.00)
40,eMBB,6,3,20,7.981049,2.6603496666666664,181808.50787653102,52.59614202523877,18.86983357268423,50.0,11.971575149688789,11.971575149688789,46.11796780481231,110.30466643423932,False,insufficient_throughput (18869833.57 < 50000000.00)
28,eMBB,6,11,20,7.981049,0.7255499090909091,23914.09111516554,43.786538796186385,57.60070932318878,50.0,13.96683714968879,13.96683714968879,43.62054661322069,104.33156117906752,True,"(np.float64(57600709.32318878), 0.00024807859812498573, np.float64(302403723.9467411), np.float64(181442234.36804467))"
10,eMBB,1,17,20,3.990525,0.23473676470588234,22431.364944289802,43.508557011236405,88.45415992199996,50.0,9.97631214968879,9.97631214968879,46.782146202600245,111.89320449824136,True,"(np.float64(88454159.92199996), 0.0001611290026809973, np.float64(464384339.59049976), np.float64(278630603.7542999))"
26,eMBB,0,1,20,11.971574,11.971574,1063080.0015293893,60.26565948357159,7.207135234786196,50.0,11.971574149688788,11.971574149688788,47.25535958123459,113.02500819046614,False,insufficient_throughput (7207135.23 < 50000000.00)
32,eMBB,2,3,20,7.981049,2.6603496666666664,728333.2803058627,58.623301549672746,21.032180522035503,50.0,7.98105014968879,7.98105014968879,50.38421476584087,120.50846684880315,False,insufficient_throughput (21032180.52 < 50000000.00)
13,uRLLC,0,2,20,1.995262,0.997631,314281.9843056454,54.973194865190315,13.148427340281476,5.0,11.971574149688788,11.971574149688788,52.75470814887245,126.17814502408987,True,"(np.float64(13148427.340281475), 0.00015641975111751674, np.float64(71001507.63751997), np.float64(42600904.582511984))"
6,eMBB,2,10,20,1.995262,0.19952620000000001,85521.66983282882,49.320761719961304,58.982469376069915,50.0,9.97631214968879,9.97631214968879,53.300162742496504,127.48275039859072,True,"(np.float64(58982469.37606992), 0.00023957365239055939, np.float64(309657964.2243671), np.float64(185794778.53462026))"
25,eMBB,0,19,20,3.990525,0.21002763157894735,17012.06956889341,42.30757150042734,96.1317939530249,50.0,9.976312149688788,9.976312149688788,46.06420748753674,110.17608630300084,True,"(np.float64(96131793.9530249), 0.00014932072617192848, np.float64(504691918.25338066), np.float64(302815150.95202845))"
0,eMBB,0,17,20,5.985787,0.3521051176470588,90391.98169488153,49.56129907686501,100.7592096327035,50.0,5.985787149688788,5.985787149688788,48.85548844261356,116.8521173391742,True,"(np.float64(100759209.6327035), 0.00014120135463634726, np.float64(528985850.57169336), np.float64(317391510.343016))"
14,uRLLC,1,10,20,3.990525,0.3990525,7850.617978305191,38.9490384451651,46.57958735263926,5.0,13.966836149688788,13.966836149688788,41.37941851215294,98.97156214006621,True,"(np.float64(46579587.35263926), 4.88074110196068e-05, np.float64(251529771.704252), np.float64(150917863.0225512))"
34,eMBB,1,1,20,7.981049,7.981049,460150.2604203356,56.6289967215,6.772229515695433,50.0,9.976311149688788,9.976311149688788,44.5877968512727,106.64492881231037,False,insufficient_throughput (6772229.52 < 50000000.00)
39,eMBB,2,3,20,7.981049,2.6603496666666664,718330.3442179412,58.563242125951554,21.01063313842713,50.0,7.981050149688789,7.981050149688789,50.324155342119695,120.3648187501376,False,insufficient_throughput (21010633.14 < 50000000.00)
